,date,open,high,low,close
56,2022-11-08 03:00:00,20443.44000000,20534.00000000,20116.13000000,20148.66000000
57,2022-11-08 04:00:00,20147.62000000,20242.40000000,19546.70000000,19637.09000000
58,2022-11-08 05:00:00,19636.07000000,19735.34000000,19344.00000000,19704.38000000
59,2022-11-08 06:00:00,19704.38000000,19856.08000000,19650.00000000,19783.01000000
60,2022-11-08 07:00:00,19782.20000000,19855.30000000,19720.00000000,19796.90000000
61,2022-11-08 08:00:00,19796.90000000,19801.39000000,19663.03000000,19729.90000000
62,2022-11-08 09:00:00,19729.90000000,19794.30000000,19695.46000000,19776.33000000
63,2022-11-08 10:00:00,19775.80000000,19786.31000000,19649.14000000,19690.25000000
64,2022-11-08 11:00:00,19690.25000000,19736.83000000,19580.33000000,19699.04000000
65,2022-11-08 12:00:00,19699.04000000,19746.78000000,19645.66000000,19722.32000000
66,2022-11-08 13:00:00,19723.21000000,19727.35000000,19500.01000000,19554.76000000
67,2022-11-08 14:00:00,19554.76000000,19650.00000000,19306.12000000,19412.32000000
68,2022-11-08 15:00:00,19416.85000000,19530.00000000,19229.00000000,19520.97000000
69,2022-11-08 16:00:00,19522.00000000,20700.88000000,19481.14000000,20371.06000000
70,2022-11-08 17:00:00,20369.58000000,20438.77000000,19324.99000000,19342.67000000
71,2022-11-08 18:00:00,19342.67000000,19550.00000000,18386.00000000,18600.51000000
72,2022-11-08 19:00:00,18600.51000000,18723.42000000,17166.83000000,18256.64000000
73,2022-11-08 20:00:00,18255.24000000,18489.80000000,17810.49000000,18159.77000000
74,2022-11-08 21:00:00,18159.77000000,18719.73000000,18135.00000000,18702.22000000
75,2022-11-08 22:00:00,18700.79000000,18730.00000000,18377.40000000,18459.68000000
76,2022-11-08 23:00:00,18459.68000000,18645.89000000,18370.00000000,18547.23000000
77,2022-11-09 00:00:00,18545.38000000,18587.76000000,18325.00000000,18335.76000000
78,2022-11-09 01:00:00,18334.39000000,18495.00000000,18293.36000000,18322.44000000
79,2022-11-09 02:00:00,18321.46000000,18428.30000000,18113.73000000,18127.94000000
80,2022-11-09 03:00:00,18127.94000000,18345.01000000,18000.00000000,18313.68000000
81,2022-11-09 04:00:00,18313.68000000,18391.46000000,18193.74000000,18256.11000000
82,2022-11-09 05:00:00,18256.09000000,18517.58000000,18173.09000000,18401.15000000
83,2022-11-09 06:00:00,18401.15000000,18459.79000000,18292.62000000,18304.35000000
84,2022-11-09 07:00:00,18304.35000000,18354.28000000,18202.59000000,18240.72000000
85,2022-11-09 08:00:00,18239.34000000,18256.85000000,18041.17000000,18150.60000000
86,2022-11-09 09:00:00,18152.27000000,18156.82000000,17623.04000000,17763.99000000
87,2022-11-09 10:00:00,17763.68000000,17870.33000000,17250.33000000,17689.30000000
88,2022-11-09 11:00:00,17689.30000000,17884.00000000,17552.39000000,17818.08000000
89,2022-11-09 12:00:00,17817.07000000,18015.00000000,17417.79000000,17619.85000000
90,2022-11-09 13:00:00,17617.84000000,17713.64000000,17298.90000000,17582.24000000
91,2022-11-09 14:00:00,17582.24000000,17816.39000000,17361.51000000,17649.62000000
92,2022-11-09 15:00:00,17649.62000000,17834.99000000,16918.83000000,17116.08000000
93,2022-11-09 16:00:00,17119.61000000,17333.33000000,16857.00000000,17084.92000000
94,2022-11-09 17:00:00,17084.94000000,17225.86000000,16800.00000000,16957.66000000
95,2022-11-09 18:00:00,16954.94000000,17021.98000000,16441.53000000,16602.53000000
96,2022-11-09 19:00:00,16602.53000000,17025.18000000,16590.00000000,16784.64000000
97,2022-11-09 20:00:00,16784.64000000,16900.00000000,16112.00000000,16237.79000000
98,2022-11-09 21:00:00,16237.79000000,16262.31000000,15671.00000000,15751.13000000
99,2022-11-09 22:00:00,15747.69000000,16095.00000000,15591.00000000,15874.66000000
100,2022-11-09 23:00:00,15875.17000000,16000.00000000,15588.00000000,15922.81000000
101,2022-11-10 00:00:00,15922.68000000,16342.64000000,15754.26000000,16272.46000000
102,2022-11-10 01:00:00,16270.00000000,16445.46000000,16080.00000000,16140.29000000
103,2022-11-10 02:00:00,16140.29000000,16263.15000000,16044.67000000,16211.61000000
104,2022-11-10 03:00:00,16210.23000000,16574.92000000,16184.10000000,16369.59000000
105,2022-11-10 04:00:00,16370.64000000,16506.98000000,16204.36000000,16499.68000000
106,2022-11-10 05:00:00,16498.26000000,16785.00000000,16493.06000000,16726.59000000
107,2022-11-10 06:00:00,16726.58000000,16907.14000000,16618.87000000,16706.30000000
108,2022-11-10 07:00:00,16705.02000000,16920.00000000,16637.37000000,16752.10000000
109,2022-11-10 08:00:00,16752.36000000,16959.99000000,16475.02000000,16844.49000000
110,2022-11-10 09:00:00,16846.00000000,16855.67000000,16646.49000000,16694.14000000
111,2022-11-10 10:00:00,16694.14000000,16744.60000000,16340.00000000,16403.74000000
112,2022-11-10 11:00:00,16403.74000000,16544.19000000,16258.74000000,16397.57000000
113,2022-11-10 12:00:00,16399.03000000,16897.47000000,16386.66000000,16672.03000000
114,2022-11-10 13:00:00,16675.47000000,17800.00000000,16548.14000000,17650.93000000
115,2022-11-10 14:00:00,17653.24000000,17749.00000000,17390.45000000,17636.39000000
116,2022-11-10 15:00:00,17636.39000000,17960.04000000,17383.62000000,17554.06000000
117,2022-11-10 16:00:00,17556.12000000,17989.00000000,17448.36000000,17786.53000000
118,2022-11-10 17:00:00,17788.14000000,17840.00000000,17120.94000000,17197.23000000
119,2022-11-10 18:00:00,17197.23000000,17480.47000000,17180.00000000,17360.81000000
120,2022-11-10 19:00:00,17362.93000000,17500.00000000,17226.42000000,17455.62000000
121,2022-11-10 20:00:00,17456.98000000,18199.00000000,17374.81000000,18108.48000000
122,2022-11-10 21:00:00,18105.16000000,18166.65000000,17766.91000000,17858.67000000
123,2022-11-10 22:00:00,17856.17000000,17892.74000000,17677.53000000,17823.27000000
124,2022-11-10 23:00:00,17825.07000000,17856.72000000,17478.00000000,17601.15000000
125,2022-11-11 00:00:00,17602.45000000,17660.00000000,17404.87000000,17553.81000000
126,2022-11-11 01:00:00,17553.81000000,17695.00000000,17202.38000000,17269.21000000
127,2022-11-11 02:00:00,17269.21000000,17362.01000000,17013.76000000,17204.27000000
128,2022-11-11 03:00:00,17203.11000000,17216.21000000,16888.76000000,17064.12000000
129,2022-11-11 04:00:00,17064.12000000,17184.39000000,17002.97000000,17084.41000000
130,2022-11-11 05:00:00,17083.18000000,17398.00000000,17055.82000000,17357.62000000
131,2022-11-11 06:00:00,17359.45000000,17430.33000000,17162.99000000,17268.77000000
132,2022-11-11 07:00:00,17268.77000000,17483.90000000,17153.84000000,17404.08000000
133,2022-11-11 08:00:00,17404.09000000,17537.00000000,17271.21000000,17397.56000000
134,2022-11-11 09:00:00,17398.85000000,17438.26000000,17307.64000000,17392.14000000
135,2022-11-11 10:00:00,17392.14000000,17422.55000000,17209.20000000,17336.64000000
136,2022-11-11 11:00:00,17334.41000000,17467.60000000,17294.01000000,17350.70000000
137,2022-11-11 12:00:00,17349.45000000,17414.52000000,17258.23000000,17400.33000000
138,2022-11-11 13:00:00,17399.17000000,17544.90000000,17292.38000000,17303.82000000
139,2022-11-11 14:00:00,17303.39000000,17328.00000000,16361.60000000,16916.02000000
140,2022-11-11 15:00:00,16916.02000000,17050.00000000,16673.06000000,16871.27000000
141,2022-11-11 16:00:00,16871.27000000,16934.50000000,16543.95000000,16836.28000000
142,2022-11-11 17:00:00,16836.28000000,16963.71000000,16750.10000000,16909.31000000
